time_iso8601,forks_cumulative
2023-04-24 00:00:00+00:00,1
2023-05-10 00:00:00+00:00,2
2023-06-04 00:00:00+00:00,3
2023-06-26 00:00:00+00:00,4
2023-07-21 00:00:00+00:00,5
2023-07-24 00:00:00+00:00,6
2023-07-26 00:00:00+00:00,7
2023-07-27 00:00:00+00:00,8
2023-08-15 00:00:00+00:00,9
2023-08-23 00:00:00+00:00,10
2023-09-13 00:00:00+00:00,11
2023-09-16 00:00:00+00:00,12
2023-10-10 00:00:00+00:00,13
2023-10-20 00:00:00+00:00,14
2023-11-02 00:00:00+00:00,15
2023-11-09 00:00:00+00:00,16
2023-11-21 00:00:00+00:00,17
2023-12-09 00:00:00+00:00,18
2023-12-14 00:00:00+00:00,19
2024-01-04 00:00:00+00:00,20
2024-01-05 00:00:00+00:00,21
2024-01-25 00:00:00+00:00,22
2024-03-18 00:00:00+00:00,23
